,Name,Lat,Long,Patronage,Type
108,Gardiner,-37.85327908,145.0516547,399250,Unstaffed
109,Garfield,-38.09103,145.67422,18950,Unstaffed
110,Geelong,-38.144241,144.354992,969600,Staffed
111,Ginifer,-37.75751083,144.8095734,650350,Unstaffed
112,Gisborne,-37.458825,144.598718,129100,Staffed
113,Glen Iris,-37.85930842,145.0582249,268850,Unstaffed
114,Glen Waverley,-37.87950407,145.1620575,1326650,Staffed
115,Glenbervie,-37.74720985,144.9209387,263100,Unstaffed
116,Glenferrie,-37.82146682,145.0364388,1996050,Staffed
117,Glenhuntly,-37.88971946,145.0422229,524650,Unstaffed
118,Glenroy,-37.70453633,144.9172204,758850,Staffed
119,Goornong,-36.615181,144.503478,2150,Unstaffed
120,Gowrie,-37.700678,144.9588743,231100,Staffed
121,Greensborough,-37.70395408,145.1082474,411400,Staffed
122,Hallam,-38.01774038,145.2697768,551600,Unstaffed
123,Hampton,-37.93797681,145.0014706,493950,Unstaffed
124,Hartwell,-37.84398457,145.0755596,132400,Unstaffed
125,Hastings,-38.30565853,145.1859799,14300,Unstaffed
126,Hawksburn,-37.84459087,145.0021421,378250,Unstaffed
127,Hawkstowe,-37.622992,145.097396,184850,Staffed
128,Hawthorn,-37.82182601,145.0228987,523950,Unstaffed
129,Heathcote Junction,-37.371709,145.028202,5200,Unstaffed
130,Heatherdale,-37.81889537,145.2127872,406400,Staffed
131,Heathmont,-37.82832227,145.2445554,150050,Unstaffed
132,Heidelberg,-37.75707293,145.0606855,702150,Staffed
133,Heyington,-37.83467244,145.0226353,185750,Unstaffed
134,Highett,-37.948425,145.0418718,345050,Unstaffed
135,Holmesglen,-37.87440222,145.090662,396900,Staffed
136,Hoppers Crossing,-37.88327618,144.7009549,897300,Staffed
137,Hughesdale,-37.89488129,145.0776351,548700,Unstaffed
138,Huntingdale,-37.91101734,145.1023643,1391450,Staffed
139,Huntly,-36.665847,144.369821,1000,Unstaffed
140,Hurstbridge,-37.63939817,145.1920169,82350,Staffed
141,Ivanhoe,-37.76889674,145.0454252,597750,Staffed
142,Jacana,-37.69513079,144.9158505,215600,Unstaffed
143,Jewell,-37.77498702,144.9587169,349050,Unstaffed
144,Jolimont,-37.81652702,144.9840983,1027200,Staffed
145,Jordanville,-37.87360339,145.1120902,386400,Unstaffed
146,Kananook,-38.12174203,145.1352953,173700,Unstaffed
147,Kangaroo Flat,-36.794838,144.248993,77650,Staffed
148,Keilor Plains,-37.72927934,144.7937381,614000,Unstaffed
149,Kensington,-37.79378022,144.9305244,435300,Unstaffed
150,Keon Park,-37.69487012,145.0118838,133550,Unstaffed
151,Kerang,-35.733123,143.92443,7600,Unstaffed
152,Kilmore East,-37.293208,144.983565,54200,Staffed
153,Kooyong,-37.83992894,145.0335516,257850,Unstaffed
154,Kyneton,-37.258277,144.450602,123500,Staffed
155,Laburnum,-37.82078023,145.1407027,291150,Unstaffed
156,Lalor,-37.66585075,145.0171932,446900,Unstaffed
157,Lara,-38.022428,144.414402,320400,Staffed
158,Laverton,-37.86369404,144.7726167,912600,Interchange
159,Leawarra,-38.152034,145.139534,5150,Unstaffed
160,Lilydale,-37.75551777,145.3477102,410150,Staffed
161,Little River,-37.962928,144.498485,15800,Unstaffed
162,Longwarry,-38.110992,145.76686,14900,Unstaffed
163,Lynbrook,-38.05734118,145.2492751,393250,Unstaffed
164,Macaulay,-37.79426673,144.9361663,279350,Unstaffed
165,Macedon,-37.423577,144.561397,42000,Unstaffed
166,Macleod,-37.7260123,145.0691433,382150,Staffed
167,Malmsbury,-37.189744,144.375325,17550,Unstaffed
168,Malvern,-37.8662533,145.0292939,612550,Staffed
169,Marshall,-38.19855,144.355055,151600,Staffed
170,Maryborough,-37.050912,143.742399,9450,Staffed
171,Mckinnon,-37.91030903,145.038299,307050,Unstaffed
172,Melbourne Central,-37.80993877,144.9625935,11176650,Interchange
173,Melton,-37.703362,144.572217,761300,Staffed
174,Mentone,-37.9818654,145.0651659,670400,Staffed
175,Merinda Park,-38.07900048,145.2635114,510450,Unstaffed
176,Merlynston,-37.72093389,144.9613135,257800,Unstaffed
177,Mernda,-37.602549,145.100883,710550,Staffed
178,Merri,-37.77784668,144.9929725,146100,Unstaffed
179,Middle Brighton,-37.91513441,144.9962991,526150,Staffed
180,Middle Footscray,-37.8025047,144.8914721,201800,Unstaffed
181,Middle Gorge,-37.644062,145.09214,203450,Staffed
182,Mitcham,-37.81800987,145.1919735,833250,Staffed
183,Moe,-38.176907,146.260574,98050,Staffed
184,Montmorency,-37.71529624,145.1215157,192650,Unstaffed
185,Moonee Ponds,-37.76570666,144.9191607,759550,Staffed
186,Moorabbin,-37.93435329,145.0367383,524250,Staffed
187,Mooroolbark,-37.78474883,145.3124024,465850,Staffed
188,Mooroopna,-36.399127,145.358217,4900,Unstaffed
189,Mordialloc,-38.00658295,145.0876594,538700,Staffed
190,Moreland,-37.75448484,144.961823,268250,Unstaffed
191,Morradoo,-38.35403334,145.1896025,3600,Unstaffed
192,Morwell,-38.236723,146.396752,90350,Staffed
193,Mount Waverley,-37.87525526,145.1280557,652600,Staffed
194,Murchison East,-36.61315,145.24064,7850,Unstaffed
195,Murrumbeena,-37.89019832,145.0673749,714250,Staffed
196,Nagambie,-36.78546,145.160358,4550,Unstaffed
197,Nar Nar Goon,-38.08159,145.57167,6950,Unstaffed
198,Narre Warren,-38.02780932,145.3039694,268150,Staffed
199,Newmarket,-37.78732767,144.9289785,598050,Unstaffed
200,Newport,-37.84271757,144.8835999,1231700,Interchange
201,Noble Park,-37.96723193,145.1769357,1001850,Staffed
202,North Brighton,-37.90488721,145.002605,524650,Staffed
203,North Geelong,-38.122836,144.352277,320200,Staffed
204,North Melbourne,-37.80630984,144.9415102,1220400,Interchange
205,North Richmond,-37.81039836,144.9925003,609400,Unstaffed
206,North Shore,-38.098373,144.365323,84150,Unstaffed
207,North Williamstown,-37.85733348,144.8890695,260900,Unstaffed
208,Northcote,-37.76986537,144.9952772,278000,Unstaffed
209,Nunawading,-37.82060317,145.1748917,672750,Staffed
210,Oak Park,-37.71794973,144.9215188,437000,Unstaffed
211,Oakleigh,-37.90037214,145.0883079,1555100,Staffed
212,Officer,-38.06614572,145.4109872,163300,Unstaffed
213,Ormond,-37.90321167,145.0396134,456750,Staffed
214,Pakenham,-38.08061397,145.4863791,451700,Interchange
215,Parkdale,-37.99307882,145.0763268,69450,Unstaffed
216,Parliament,-37.81105406,144.9729109,5862900,Interchange
217,Pascoe Vale,-37.73075596,144.9281956,530800,Unstaffed
218,Patterson,-37.92514919,145.03547,248350,Unstaffed
219,Prahran,-37.84951848,144.9898599,893300,Staffed
220,Preston,-37.73867424,145.000522,568750,Staffed
221,Pyramid,-36.053113,144.11313,2750,Unstaffed
222,Raywood,-36.531956,144.201158,850,Unstaffed
223,Regent,-37.72840277,145.0027726,369000,Unstaffed
224,Reservoir,-37.71688492,145.0069958,852650,Staffed
225,Richmond,-37.82407446,144.9901643,3722400,Interchange
226,Riddells Creek,-37.465127,144.679828,58150,Staffed
227,Ringwood,-37.81588648,145.2289685,1606950,Interchange
228,Ringwood East,-37.81196804,145.2501909,213500,Unstaffed
229,Ripponlea,-37.87590643,144.9952366,487100,Staffed
230,Riversdale,-37.83150543,145.069646,146100,Unstaffed
231,Rochester,-36.362363,144.698683,5200,Unstaffed
232,Rockbank,-37.729258,144.65063,328050,Unstaffed
233,Rosanna,-37.7428786,145.0661403,505100,Staffed
234,Rosedale,-38.156403,146.786965,2550,Unstaffed
235,Roxburgh Park,-37.63823121,144.9354037,512350,Unstaffed
236,Royal Park,-37.78119293,144.9523013,304600,Unstaffed
237,Rushall,-37.78321711,144.9924071,119850,Unstaffed
238,Ruthven,-37.70789754,145.0095166,302050,Unstaffed
239,Sale,-38.103105,147.054802,27650,Staffed
240,Sandown Park,-37.95650457,145.1628259,421450,Unstaffed
241,Sandringham,-37.95033018,145.0045614,786850,Staffed
242,Seaford,-38.10402104,145.1282304,308950,Unstaffed
243,Seaholme,-37.86784231,144.8409577,86500,Unstaffed
244,Seddon,-37.80900514,144.8956716,381350,Unstaffed
245,Seymour,-37.024725,145.137733,133200,Interchange
246,Shepparton,-36.383795,145.4065,74300,Staffed
247,Sherwood Park,-38.386396,142.538873,3600,Unstaffed
248,Showgrounds,-37.7835,144.915,138000,Unstaffed
249,Somerville,-38.22534196,145.1762449,7400,Unstaffed
250,South Geelong,-38.15866,144.358987,294500,Staffed
251,South Kensington,-37.79953087,144.925469,304650,Unstaffed
252,South Morang,-37.6491588,145.0670324,534400,Staffed
253,South Yarra,-37.83844935,144.9923422,3100250,Interchange
254,Southern Cross,-37.81793643,144.9514112,19944650,Interchange
255,Southland,-37.958758,145.049124,432800,Unstaffed
256,Spotswood,-37.83063888,144.8859335,294100,Unstaffed
257,Springhurst,-36.185894,146.470421,2700,Unstaffed
258,Springvale,-37.94950878,145.1534518,1473100,Staffed
259,St Albans,-37.74486131,144.8000505,1022200,Staffed
260,Stony Point,-38.37423454,145.2218375,6700,Unstaffed
261,Stratford,-37.967047,147.081468,4050,Unstaffed
262,Strathmore,-37.74359132,144.9273157,299900,Unstaffed
263,Sunbury,-37.57909097,144.7273188,690850,Interchange
264,Sunshine,-37.78853633,144.8328782,1830400,Interchange
265,Swan Hill,-35.341113,143.562347,48600,Staffed
266,Syndal,-37.87622963,145.1497805,682000,Staffed
267,Talbot,-37.172902,143.705635,850,Unstaffed
268,Tallarook,-37.092332,145.103002,5700,Unstaffed
269,Tarneit,-37.832169,144.694716,1495450,Staffed
270,Tecoma,-37.90811849,145.3429946,43350,Unstaffed
271,Terang,-38.236215,142.911467,8950,Unstaffed
272,Thomastown,-37.68033809,145.0142789,635600,Staffed
273,Thornbury,-37.75505179,144.9985715,372350,Unstaffed
274,Toorak,-37.85077381,145.0139086,363150,Unstaffed
275,Tooronga,-37.84936553,145.0417337,467850,Staffed
276,Tottenham,-37.7992509,144.8629449,422000,Unstaffed
277,Trafalgar,-38.207239,146.15477,39700,Unstaffed
278,Traralgon,-38.198889,146.537884,145200,Staffed
279,Tyabb,-38.259815,145.1864007,3250,Unstaffed
280,Tynong,-38.084994,145.628231,5100,Unstaffed
281,Union,-37.823477,145.1000368,512800,Staffed
282,Upfield,-37.66607779,144.9467399,275250,Staffed
283,Upper Ferntree Gully,-37.8926717,145.3075302,155150,Staffed
284,Upwey,-37.90369097,145.3313334,92050,Unstaffed
285,Victoria Park,-37.79915782,144.9944514,615100,Unstaffed
286,Violet Town,-36.638817,145.715926,2800,Unstaffed
287,Wallan,-37.416534,145.005354,118800,Staffed
288,Wandong,-37.354676,145.026414,16300,Unstaffed
289,Wangaratta,-36.355102,146.317041,51900,Staffed
290,Warragul,-38.165227,145.932675,136100,Staffed
291,Warrnambool,-38.385015,142.475547,98300,Staffed
292,Watergardens,-37.70112872,144.7741805,1258850,Interchange
293,Watsonia,-37.71095798,145.0837934,434900,Staffed
294,Wattle Glen,-37.66396792,145.1816145,30100,Unstaffed
295,Waurn Ponds,-38.21581,144.30682,230950,Staffed
296,Wendouree,-37.539713,143.820062,162450,Staffed
297,Werribee,-37.89937805,144.661118,1085250,Staffed
298,West Footscray,-37.8018087,144.8853248,522700,Unstaffed
299,West Richmond,-37.81494896,144.9914228,396750,Unstaffed
300,Westall,-37.93849121,145.1388326,665850,Staffed
301,Westgarth,-37.7806207,144.9992332,195700,Unstaffed
302,Westona,-37.86516348,144.8134936,222100,Unstaffed
303,Williams Landing,-37.86986533,144.7474447,1359750,Staffed
304,Williamstown,-37.86775292,144.9053233,143650,Staffed
305,Williamstown Beach,-37.86398189,144.8944837,158900,Unstaffed
306,Willison,-37.83571565,145.0702976,75100,Unstaffed
307,Winchelsea,-38.240133,143.984137,4700,Staffed
308,Windsor,-37.85605308,144.9920352,601350,Staffed
309,Wodonga,-36.105829,146.871267,54750,Staffed
310,Woodend,-37.358803,144.525893,135150,Staffed
311,Wyndham Vale,-37.872884,144.608734,919500,Staffed
312,Yarragon,-38.203155,146.063065,13150,Unstaffed
313,Yarraman,-37.97825454,145.1916003,275650,Unstaffed
314,Yarraville,-37.81585044,144.8899337,794400,Staffed
